section,date,day,hour,speed
0,2025-08-13,2,11,91.14
0,2025-08-13,2,12,94.86
0,2025-08-13,2,13,93.81
0,2025-08-13,2,14,95.31
0,2025-08-13,2,15,95.72
0,2025-08-13,2,16,95.75
0,2025-08-13,2,17,98.31
0,2025-08-13,2,18,100.51
0,2025-08-13,2,19,89.76
0,2025-08-13,2,20,72.5
0,2025-08-13,2,21,80.65
0,2025-08-13,2,22,78.32
0,2025-08-13,2,23,85.49
0,2025-08-14,3,0,76.75
0,2025-08-14,3,1,63.74
0,2025-08-14,3,2,61.79
0,2025-08-14,3,3,70.87
0,2025-08-14,3,4,79.88
0,2025-08-14,3,5,85.65
0,2025-08-14,3,6,94.43
0,2025-08-14,3,7,92.94
0,2025-08-14,3,8,93.2
0,2025-08-14,3,9,86.75
0,2025-08-14,3,10,84.43
0,2025-08-14,3,11,85.16
0,2025-08-14,3,12,88.22
0,2025-08-14,3,13,88.42
0,2025-08-14,3,14,89.73
0,2025-08-14,3,15,82.83
0,2025-08-14,3,16,83.78
0,2025-08-14,3,17,84.71
0,2025-08-14,3,18,93.9
0,2025-08-14,3,19,91.76
0,2025-08-14,3,20,90.36
0,2025-08-14,3,21,86.07
0,2025-08-14,3,22,96.48
0,2025-08-14,3,23,98.07
0,2025-08-15,4,0,99.45
0,2025-08-15,4,1,96.38
0,2025-08-15,4,2,95.51
0,2025-08-15,4,3,96.3
0,2025-08-15,4,4,97.67
0,2025-08-15,4,5,96.65
0,2025-08-15,4,6,89.29
0,2025-08-15,4,7,85.65
0,2025-08-15,4,8,72.0
0,2025-08-15,4,9,74.42
0,2025-08-15,4,10,79.06
0,2025-08-15,4,11,84.86
0,2025-08-15,4,12,80.41
0,2025-08-15,4,13,70.58
0,2025-08-15,4,14,87.89
0,2025-08-15,4,15,89.24
0,2025-08-15,4,16,91.93
0,2025-08-15,4,17,99.16
0,2025-08-15,4,18,99.97
0,2025-08-15,4,19,97.36
0,2025-08-15,4,20,95.3
0,2025-08-15,4,21,99.3
0,2025-08-15,4,22,100.82
0,2025-08-15,4,23,101.28
0,2025-08-16,5,0,99.61
0,2025-08-16,5,1,95.39
0,2025-08-16,5,2,95.0
0,2025-08-16,5,3,93.82
0,2025-08-16,5,4,96.97
0,2025-08-16,5,5,99.85
0,2025-08-16,5,6,102.75
0,2025-08-16,5,7,98.87
0,2025-08-16,5,8,96.94
0,2025-08-16,5,9,94.21
0,2025-08-16,5,10,91.76
0,2025-08-16,5,11,92.37
0,2025-08-16,5,12,98.81
0,2025-08-16,5,13,96.63
0,2025-08-16,5,14,96.12
0,2025-08-16,5,15,97.01
0,2025-08-16,5,16,96.61
0,2025-08-16,5,17,99.68
0,2025-08-16,5,18,101.43
0,2025-08-16,5,19,98.94
0,2025-08-16,5,20,96.67
0,2025-08-16,5,21,100.05
0,2025-08-16,5,22,101.4
0,2025-08-16,5,23,101.96
0,2025-08-17,6,0,99.4
0,2025-08-17,6,1,97.06
0,2025-08-17,6,2,98.13
0,2025-08-17,6,3,97.84
0,2025-08-17,6,4,94.93
0,2025-08-17,6,5,101.65
0,2025-08-17,6,6,106.25
0,2025-08-17,6,7,104.76
0,2025-08-17,6,8,102.75
0,2025-08-17,6,9,100.73
0,2025-08-17,6,10,99.8
0,2025-08-17,6,11,98.07
0,2025-08-17,6,12,97.81
0,2025-08-17,6,13,98.9
0,2025-08-17,6,14,96.02
0,2025-08-17,6,15,95.26
0,2025-08-17,6,16,95.66
0,2025-08-17,6,17,98.01
0,2025-08-17,6,18,99.22
0,2025-08-17,6,19,92.86
0,2025-08-17,6,20,92.51
0,2025-08-17,6,21,98.71
0,2025-08-17,6,22,100.1
0,2025-08-17,6,23,99.82
0,2025-08-18,0,0,99.28
0,2025-08-18,0,1,96.27
0,2025-08-18,0,2,93.3
0,2025-08-18,0,3,94.83
0,2025-08-18,0,4,99.56
0,2025-08-18,0,5,96.72
0,2025-08-18,0,6,98.38
0,2025-08-18,0,7,100.91
0,2025-08-18,0,8,96.98
0,2025-08-18,0,9,95.69
0,2025-08-18,0,10,93.28
0,2025-08-18,0,11,92.67
0,2025-08-18,0,12,94.14
0,2025-08-18,0,13,94.4
0,2025-08-18,0,14,94.06
0,2025-08-18,0,15,93.72
0,2025-08-18,0,16,93.59
0,2025-08-18,0,17,98.41
0,2025-08-18,0,18,98.84
0,2025-08-18,0,19,96.33
0,2025-08-18,0,20,96.56
0,2025-08-18,0,21,97.54
0,2025-08-18,0,22,97.78
0,2025-08-18,0,23,97.37
0,2025-08-19,1,0,94.3
0,2025-08-19,1,1,91.57
0,2025-08-19,1,2,90.76
0,2025-08-19,1,3,91.8
0,2025-08-19,1,4,95.35
0,2025-08-19,1,5,96.99
0,2025-08-19,1,6,99.96
0,2025-08-19,1,7,98.61
0,2025-08-19,1,8,96.45
0,2025-08-19,1,9,93.22
0,2025-08-19,1,10,92.37
0,2025-08-19,1,11,93.04
0,2025-08-19,1,12,93.27
0,2025-08-19,1,13,92.83
0,2025-08-19,1,14,95.05
0,2025-08-19,1,15,94.26
0,2025-08-19,1,16,92.82
0,2025-08-19,1,17,95.76
0,2025-08-19,1,18,99.8
0,2025-08-19,1,19,97.62
0,2025-08-19,1,20,97.02
0,2025-08-19,1,21,99.15
0,2025-08-19,1,22,99.75
0,2025-08-19,1,23,97.4
0,2025-08-20,2,0,95.29
0,2025-08-20,2,1,92.12
0,2025-08-20,2,2,91.6
0,2025-08-20,2,3,90.01
0,2025-08-20,2,4,94.79
0,2025-08-20,2,5,96.91
0,2025-08-20,2,6,98.59
0,2025-08-20,2,7,97.63
0,2025-08-20,2,8,95.99
0,2025-08-20,2,9,92.72
0,2025-08-20,2,10,90.68
0,2025-08-20,2,11,92.87
0,2025-08-20,2,12,94.11
0,2025-08-20,2,13,94.78
0,2025-08-20,2,14,95.37
0,2025-08-20,2,15,93.95
0,2025-08-20,2,16,93.87
0,2025-08-20,2,17,97.32
0,2025-08-20,2,18,99.84
0,2025-08-20,2,19,97.11
0,2025-08-20,2,20,97.51
0,2025-08-20,2,21,97.28
0,2025-08-20,2,22,98.06
0,2025-08-20,2,23,97.62
0,2025-08-21,3,0,94.9
0,2025-08-21,3,1,92.45
0,2025-08-21,3,2,89.01
0,2025-08-21,3,3,92.34
0,2025-08-21,3,4,94.3
0,2025-08-21,3,5,97.23
0,2025-08-21,3,6,100.09
0,2025-08-21,3,7,97.76
0,2025-08-21,3,8,96.89
0,2025-08-21,3,9,91.63
0,2025-08-21,3,10,93.06
0,2025-08-21,3,11,92.03
0,2025-08-21,3,12,92.14
0,2025-08-21,3,13,93.93
0,2025-08-21,3,14,95.1
0,2025-08-21,3,15,94.54
0,2025-08-21,3,16,94.23
0,2025-08-21,3,17,97.04
0,2025-08-21,3,18,100.34
0,2025-08-21,3,19,97.55
0,2025-08-21,3,20,96.8
0,2025-08-21,3,21,97.4
0,2025-08-21,3,22,98.38
0,2025-08-21,3,23,98.21
0,2025-08-22,4,0,96.03
0,2025-08-22,4,1,93.24
0,2025-08-22,4,2,90.97
0,2025-08-22,4,3,91.94
0,2025-08-22,4,4,92.84
0,2025-08-22,4,5,96.82
0,2025-08-22,4,6,100.1
0,2025-08-22,4,7,97.97
0,2025-08-22,4,8,94.85
0,2025-08-22,4,9,88.08
0,2025-08-22,4,10,90.98
0,2025-08-22,4,11,91.01
0,2025-08-22,4,12,89.38
0,2025-08-22,4,13,92.45
0,2025-08-22,4,14,94.19
0,2025-08-22,4,15,90.56
0,2025-08-22,4,16,89.57
0,2025-08-22,4,17,94.7
0,2025-08-22,4,18,97.94
0,2025-08-22,4,19,96.99
0,2025-08-22,4,20,95.42
0,2025-08-22,4,21,96.64
0,2025-08-22,4,22,98.54
0,2025-08-22,4,23,99.22
0,2025-08-23,5,0,98.31
0,2025-08-23,5,1,96.89
0,2025-08-23,5,2,93.13
0,2025-08-23,5,3,94.49
0,2025-08-23,5,4,96.65
0,2025-08-23,5,5,100.01
0,2025-08-23,5,6,102.12
0,2025-08-23,5,7,93.78
0,2025-08-23,5,8,91.77
0,2025-08-23,5,9,88.57
0,2025-08-23,5,10,93.72
0,2025-08-23,5,11,93.7
0,2025-08-23,5,12,93.27
0,2025-08-23,5,13,97.87
0,2025-08-23,5,14,95.93
0,2025-08-23,5,15,97.14
0,2025-08-23,5,16,97.15
0,2025-08-23,5,17,98.66
0,2025-08-23,5,18,101.53
0,2025-08-23,5,19,95.4
0,2025-08-23,5,20,95.69
0,2025-08-23,5,21,99.6
0,2025-08-23,5,22,101.02
0,2025-08-23,5,23,101.5
0,2025-08-24,6,0,100.6
0,2025-08-24,6,1,97.62
0,2025-08-24,6,2,95.33
0,2025-08-24,6,3,93.69
0,2025-08-24,6,4,99.07
0,2025-08-24,6,5,101.8
0,2025-08-24,6,6,106.69
0,2025-08-24,6,7,105.4
0,2025-08-24,6,8,104.24
0,2025-08-24,6,9,100.98
0,2025-08-24,6,10,99.32
0,2025-08-24,6,11,100.53
0,2025-08-24,6,12,100.71
0,2025-08-24,6,13,100.06
0,2025-08-24,6,14,97.35
0,2025-08-24,6,15,94.87
0,2025-08-24,6,16,98.56
0,2025-08-24,6,17,99.44
0,2025-08-24,6,18,99.69
0,2025-08-24,6,19,95.96
0,2025-08-24,6,20,92.19
0,2025-08-24,6,21,98.39
0,2025-08-24,6,22,100.65
0,2025-08-24,6,23,100.61
0,2025-08-25,0,0,97.47
0,2025-08-25,0,1,92.56
0,2025-08-25,0,2,93.04
0,2025-08-25,0,3,95.74
0,2025-08-25,0,4,99.13
0,2025-08-25,0,5,97.77
0,2025-08-25,0,6,102.4
0,2025-08-25,0,7,101.93
0,2025-08-25,0,8,99.81
0,2025-08-25,0,9,97.01
0,2025-08-25,0,10,92.11
0,2025-08-25,0,11,95.97
0,2025-08-25,0,12,96.81
0,2025-08-25,0,13,98.51
0,2025-08-25,0,14,97.11
0,2025-08-25,0,15,95.26
0,2025-08-25,0,16,83.16
0,2025-08-25,0,17,97.03
0,2025-08-25,0,18,103.48
0,2025-08-25,0,19,96.2
0,2025-08-25,0,20,95.27
0,2025-08-25,0,21,97.65
0,2025-08-25,0,22,97.32
0,2025-08-25,0,23,96.07
0,2025-08-26,1,0,74.6
0,2025-08-26,1,1,60.38
0,2025-08-26,1,2,66.65
0,2025-08-26,1,3,64.3
0,2025-08-26,1,4,67.61
0,2025-08-26,1,5,78.52
0,2025-08-26,1,6,86.17
0,2025-08-26,1,7,92.43
0,2025-08-26,1,8,90.33
0,2025-08-26,1,9,88.06
0,2025-08-26,1,10,88.71
0,2025-08-26,1,11,89.94
0,2025-08-26,1,12,91.74
0,2025-08-26,1,13,94.89
0,2025-08-26,1,14,95.21
0,2025-08-26,1,15,94.67
0,2025-08-26,1,16,95.19
0,2025-08-26,1,17,96.73
0,2025-08-26,1,18,99.78
0,2025-08-26,1,19,97.92
0,2025-08-26,1,20,95.75
0,2025-08-26,1,21,97.18
0,2025-08-26,1,22,96.26
0,2025-08-26,1,23,95.51
0,2025-08-27,2,0,88.43
0,2025-08-27,2,1,86.01
0,2025-08-27,2,2,76.18
0,2025-08-27,2,3,79.11
0,2025-08-27,2,4,81.06
0,2025-08-27,2,5,94.27
0,2025-08-27,2,6,97.51
0,2025-08-27,2,7,96.48
0,2025-08-27,2,8,96.04
0,2025-08-27,2,9,94.08
0,2025-08-27,2,10,91.25
0,2025-08-27,2,11,91.75
0,2025-08-27,2,12,93.39
0,2025-08-27,2,13,93.27
0,2025-08-27,2,14,95.63
0,2025-08-27,2,15,94.67
0,2025-08-27,2,16,94.4
0,2025-08-27,2,17,97.29
0,2025-08-27,2,18,100.91
0,2025-08-27,2,19,95.45
0,2025-08-27,2,20,94.4
0,2025-08-27,2,21,95.27
0,2025-08-27,2,22,95.45
0,2025-08-27,2,23,93.09
0,2025-08-28,3,0,86.9
0,2025-08-28,3,1,80.85
0,2025-08-28,3,2,77.92
0,2025-08-28,3,3,77.68
0,2025-08-28,3,4,85.76
0,2025-08-28,3,5,95.49
0,2025-08-28,3,6,99.09
0,2025-08-28,3,7,98.73
0,2025-08-28,3,8,97.74
0,2025-08-28,3,9,92.78
0,2025-08-28,3,10,88.31
0,2025-08-28,3,11,91.36
0,2025-08-28,3,12,94.41
0,2025-08-28,3,13,93.91
0,2025-08-28,3,14,94.87
0,2025-08-28,3,15,95.33
0,2025-08-28,3,16,95.75
0,2025-08-28,3,17,98.24
0,2025-08-28,3,18,98.53
0,2025-08-28,3,19,95.12
0,2025-08-28,3,20,94.77
0,2025-08-28,3,21,95.62
0,2025-08-28,3,22,96.33
0,2025-08-28,3,23,94.95
0,2025-08-29,4,0,89.8
0,2025-08-29,4,1,86.49
0,2025-08-29,4,2,82.81
0,2025-08-29,4,3,82.7
0,2025-08-29,4,4,86.8
0,2025-08-29,4,5,95.83
0,2025-08-29,4,6,100.93
0,2025-08-29,4,7,98.71
0,2025-08-29,4,8,95.52
0,2025-08-29,4,9,92.35
0,2025-08-29,4,10,83.67
0,2025-08-29,4,11,90.02
0,2025-08-29,4,12,94.38
0,2025-08-29,4,13,92.88
0,2025-08-29,4,14,91.47
0,2025-08-29,4,15,91.76
0,2025-08-29,4,16,91.16
0,2025-08-29,4,17,94.78
0,2025-08-29,4,18,97.69
0,2025-08-29,4,19,93.95
0,2025-08-29,4,20,95.13
0,2025-08-29,4,21,96.11
0,2025-08-29,4,22,96.87
0,2025-08-29,4,23,97.21
0,2025-08-30,5,0,95.41
0,2025-08-30,5,1,88.43
0,2025-08-30,5,2,86.33
0,2025-08-30,5,3,88.66
0,2025-08-30,5,4,84.21
0,2025-08-30,5,5,95.21
0,2025-08-30,5,6,102.81
0,2025-08-30,5,7,94.06
0,2025-08-30,5,8,92.43
0,2025-08-30,5,9,91.18
0,2025-08-30,5,10,90.7
0,2025-08-30,5,11,92.06
0,2025-08-30,5,12,93.4
0,2025-08-30,5,13,93.54
0,2025-08-30,5,14,90.21
0,2025-08-30,5,15,94.45
0,2025-08-30,5,16,94.47
0,2025-08-30,5,17,100.59
0,2025-08-30,5,18,99.71
0,2025-08-30,5,19,95.28
0,2025-08-30,5,20,93.84
0,2025-08-30,5,21,98.25
0,2025-08-30,5,22,98.6
0,2025-08-30,5,23,98.89
0,2025-08-31,6,0,91.11
0,2025-08-31,6,1,85.46
0,2025-08-31,6,2,77.16
0,2025-08-31,6,3,67.96
0,2025-08-31,6,4,75.33
0,2025-08-31,6,5,87.89
0,2025-08-31,6,6,107.48
0,2025-08-31,6,7,105.44
0,2025-08-31,6,8,103.37
0,2025-08-31,6,9,100.12
0,2025-08-31,6,10,96.57
0,2025-08-31,6,11,95.17
0,2025-08-31,6,12,96.62
0,2025-08-31,6,13,96.34
0,2025-08-31,6,14,91.15
0,2025-08-31,6,15,90.16
0,2025-08-31,6,16,94.23
0,2025-08-31,6,17,96.38
0,2025-08-31,6,18,97.14
0,2025-08-31,6,19,91.61
0,2025-08-31,6,20,91.54
0,2025-08-31,6,21,97.7
0,2025-08-31,6,22,99.59
0,2025-08-31,6,23,99.14
0,2025-09-01,0,0,93.48
0,2025-09-01,0,1,87.16
0,2025-09-01,0,2,80.15
0,2025-09-01,0,3,74.66
0,2025-09-01,0,4,89.27
0,2025-09-01,0,5,96.09
0,2025-09-01,0,6,100.09
0,2025-09-01,0,7,98.72
0,2025-09-01,0,8,101.46
0,2025-09-01,0,9,95.91
0,2025-09-01,0,10,87.49
0,2025-09-01,0,11,93.57
0,2025-09-01,0,12,95.57
0,2025-09-01,0,13,96.87
0,2025-09-01,0,14,94.56
0,2025-09-01,0,15,87.36
0,2025-09-01,0,16,92.71
0,2025-09-01,0,17,98.27
